JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5770483_168|2-06:30:15|2023-05-28T23:25:40|2023-06-01T20:51:52|1Gc|1|2-06:30:15|2023-05-28T23:25:40|2023-05-30T14:21:37||COMPLETED|jitendra.kethepalli|cn16|serial-short|
5770957_160|17:17:31|2023-05-30T14:35:42|2023-06-01T09:10:57|1Gc|1|17:17:31|2023-05-30T14:35:40|2023-05-31T15:53:26||COMPLETED|jitendra.kethepalli|cn23|serial-long|
5770963_640|1-21:08:11|2023-05-30T14:38:18|2023-06-07T10:11:26|1Gc|1|1-21:08:11|2023-05-30T14:38:18|2023-06-05T13:03:15||CANCELLED by 10152|jitendra.kethepalli|cn15|serial-short|
5770965_320|1-19:31:30|2023-05-30T14:39:05|2023-06-06T23:51:37|1Gc|1|1-19:31:30|2023-05-30T14:39:05|2023-06-05T04:20:07||COMPLETED|jitendra.kethepalli|cn23|serial-long|
5771039|4-00:00:28|2023-05-30T17:38:42|2023-06-03T18:02:42|1000Mc|32|128-00:14:56|2023-05-30T17:38:42|2023-05-30T18:02:14||TIMEOUT|suman.jyotide|cn58|parallel-long|
5770483_169|1-20:37:51|2023-05-28T23:25:40|2023-06-01T16:43:50|1Gc|1|1-20:37:51|2023-05-28T23:25:40|2023-05-30T20:05:59||COMPLETED|jitendra.kethepalli|cn21|serial-short|
5770483_170|1-20:40:12|2023-05-28T23:25:40|2023-06-01T16:46:26|1Gc|1|1-20:40:12|2023-05-28T23:25:40|2023-05-30T20:06:14||COMPLETED|jitendra.kethepalli|cn21|serial-short|
5770483_171|1-20:37:31|2023-05-28T23:25:40|2023-06-01T16:43:45|1Gc|1|1-20:37:31|2023-05-28T23:25:40|2023-05-30T20:06:14||COMPLETED|jitendra.kethepalli|cn21|serial-short|
5770483_172|1-20:37:43|2023-05-28T23:25:40|2023-06-01T16:44:28|1Gc|1|1-20:37:43|2023-05-28T23:25:40|2023-05-30T20:06:45||COMPLETED|jitendra.kethepalli|cn21|serial-short|
5770483_173|1-20:44:48|2023-05-28T23:25:40|2023-06-01T16:52:06|1Gc|1|1-20:44:48|2023-05-28T23:25:40|2023-05-30T20:07:18||COMPLETED|jitendra.kethepalli|cn21|serial-short|
5770483_174|1-20:52:44|2023-05-28T23:25:40|2023-06-01T17:02:30|1Gc|1|1-20:52:44|2023-05-28T23:25:40|2023-05-30T20:09:46||COMPLETED|jitendra.kethepalli|cn21|serial-short|
5771164|4-00:00:07|2023-05-30T22:59:39|2023-06-03T22:59:46|1000Mc|32|128-00:03:44|2023-05-30T22:59:39|2023-05-30T22:59:39||TIMEOUT|suman.jyotide|cn58|parallel-long|
